X,ScientificName,latitude,longitude,GRA,MAC,MCC,RMM,SAG,SCR
9776,LAK,-44.64841042,169.880918,0,0,0,0,0,0
9777,LAK,-44.86101704,169.1993775,0,0,0,0,0,0
9778,LAK,-45.44516625,168.3123033,0,0,0,0,0,0
9779,LAK,-45.34120389,168.1748725,0,0,0,0,0,0
9780,LAK,-44.32823312,169.5947587,0,0,0,0,0,0
9781,LAK,-44.16988124,169.9068651,0,0,0,0,0,0
9782,LAK,-44.44230857,169.6254006,0,0,0,0,0,0
9783,LAK,-44.48313687,170.1265496,0,0,0,0,0,0
9784,LAK,-44.3092331,170.2434975,0,0,0,0,0,0
9785,LAK,-44.16896703,170.1234112,0,0,0,0,0,0
9786,LAK,-44.18395554,170.2268477,0,0,0,0,0,0
9787,LAK,-44.30747331,170.2684065,0,0,0,0,0,0
9788,LAK,-44.31396254,170.211096,0,0,0,0,0,0
9789,LAK,-44.18756236,170.0729657,0,0,0,0,0,0
9790,LAK,-44.58777178,169.0004566,0,0,0,0,0,0
9791,LAK,-44.38335802,170.0550793,0,0,0,0,0,0
9792,LAK,-44.37152066,170.1038362,0,0,0,0,0,0
9793,LAK,-45.02685098,168.9439817,0,0,0,0,0,0
9794,LAK,-44.90779129,168.979688,0,0,0,0,0,0
12311,Oligosoma maccanni,-44.58290915,169.6678013,0,0,1,0,0,0
12312,Oligosoma maccanni,-45.13643856,169.2623289,0,0,1,0,0,0
12313,Oligosoma maccanni,-43.72424401,172.6281601,0,0,1,0,0,0
12314,Oligosoma maccanni,-45.75043413,170.0765078,0,0,1,0,0,0
12315,Oligosoma maccanni,-46.31582567,169.3822225,0,0,1,0,0,0
12316,Oligosoma maccanni,-44.68366532,169.2437026,0,0,1,0,0,0
12317,Oligosoma maccanni,-45.53892501,167.7308819,0,0,1,0,0,0
12318,Oligosoma maccanni,-45.15558813,169.3358889,0,0,1,0,0,0
12319,Oligosoma maccanni,-45.32387175,169.502289,0,0,1,0,0,0
12320,Oligosoma maccanni,-45.25957594,169.7492636,0,0,1,0,0,0
12321,Oligosoma maccanni,-45.13964123,168.2920866,0,0,1,0,0,0
12322,Oligosoma maccanni,-45.10873293,168.9324966,0,0,1,0,0,0
12323,Oligosoma maccanni,-45.6326478,170.1147469,0,0,1,0,0,0
12324,Oligosoma maccanni,-45.09810054,169.6002258,0,0,1,0,0,0
12325,Oligosoma maccanni,-45.33679314,170.2107194,0,0,1,0,0,0
12326,Oligosoma maccanni,-44.69575935,169.2896396,0,0,1,0,0,0
12327,Oligosoma maccanni,-45.54929187,169.8668275,0,0,1,0,0,0
12328,Oligosoma maccanni,-45.62874962,169.9988002,0,0,1,0,0,0
12329,Oligosoma maccanni,-45.30169751,170.6166579,0,0,1,0,0,0
12330,Oligosoma maccanni,-45.53845947,170.6120862,0,0,1,0,0,0
12331,Oligosoma maccanni,-45.35007747,170.2088488,0,0,1,0,0,0
12332,Oligosoma maccanni,-45.05625063,170.2486542,0,0,1,0,0,0
12333,Oligosoma maccanni,-45.40654458,170.2218618,0,0,1,0,0,0
12334,Oligosoma maccanni,-44.57228779,170.0514252,0,0,1,0,0,0
12335,Oligosoma maccanni,-45.60330096,170.6200292,0,0,1,0,0,0
12336,Oligosoma maccanni,-45.04556832,170.0702854,0,0,1,0,0,0
12337,Oligosoma maccanni,-44.96014385,171.122588,0,0,1,0,0,0
12338,Oligosoma maccanni,-45.26039069,169.6412403,0,0,1,0,0,0
12339,Oligosoma maccanni,-44.06927724,170.4954831,0,0,1,0,0,0
12340,Oligosoma maccanni,-43.65514388,172.690445,0,0,1,0,0,0
12341,Oligosoma maccanni,-45.33081786,169.2670443,0,0,1,0,0,0
12342,Oligosoma maccanni,-45.40193595,170.1801836,0,0,1,0,0,0
12343,Oligosoma maccanni,-44.9909941,169.2140571,0,0,1,0,0,0
12344,Oligosoma maccanni,-45.00941258,169.1272571,0,0,1,0,0,0
12345,Oligosoma maccanni,-44.95135438,169.1101863,0,0,1,0,0,0
12346,Oligosoma maccanni,-44.64832432,169.3157497,0,0,1,0,0,0
12347,Oligosoma maccanni,-45.84535451,168.4530382,0,0,1,0,0,0
12348,Oligosoma maccanni,-45.65125377,170.0833654,0,0,1,0,0,0
12349,Oligosoma maccanni,-45.43344849,170.0675427,0,0,1,0,0,0
12350,Oligosoma maccanni,-43.92066929,172.7725799,0,0,1,0,0,0
12351,Oligosoma maccanni,-45.4634717,169.9774268,0,0,1,0,0,0
12352,Oligosoma maccanni,-43.89240667,170.4824934,0,0,1,0,0,0
12353,Oligosoma maccanni,-45.0484627,168.6815106,0,0,1,0,0,0
12354,Oligosoma maccanni,-45.72328929,170.5704719,0,0,1,0,0,0
12355,Oligosoma maccanni,-45.47284824,169.622825,0,0,1,0,0,0
12356,Oligosoma maccanni,-45.17277536,168.6845398,0,0,1,0,0,0
12357,Oligosoma maccanni,-45.43733488,170.4391292,0,0,1,0,0,0
12358,Oligosoma maccanni,-45.07920564,168.6917296,0,0,1,0,0,0
12359,Oligosoma maccanni,-45.08675109,168.7996986,0,0,1,0,0,0
12360,Oligosoma maccanni,-44.53977147,169.913695,0,0,1,0,0,0
12361,Oligosoma maccanni,-44.49085264,169.9457731,0,0,1,0,0,0
12362,Oligosoma maccanni,-45.63038873,169.9160326,0,0,1,0,0,0
12363,Oligosoma maccanni,-45.60578353,170.3705243,0,0,1,0,0,0
12364,Oligosoma maccanni,-44.19700028,169.9231244,0,0,1,0,0,0
12365,Oligosoma maccanni,-43.99576416,170.1107351,0,0,1,0,0,0
12366,Oligosoma maccanni,-44.02050283,170.5669089,0,0,1,0,0,0
12367,Oligosoma maccanni,-45.62982774,170.3684685,0,0,1,0,0,0
12368,Oligosoma maccanni,-45.68238838,170.3287497,0,0,1,0,0,0
12369,Oligosoma maccanni,-45.66365687,170.3577779,0,0,1,0,0,0
12370,Oligosoma maccanni,-45.59458149,170.3909279,0,0,1,0,0,0
12371,Oligosoma maccanni,-45.34069049,168.5342105,0,0,1,0,0,0
12372,Oligosoma maccanni,-45.03781592,170.2200033,0,0,1,0,0,0
12373,Oligosoma maccanni,-44.96418221,170.0713083,0,0,1,0,0,0
12374,Oligosoma maccanni,-44.96323354,170.1510355,0,0,1,0,0,0
12375,Oligosoma maccanni,-44.95822708,170.2865312,0,0,1,0,0,0
12376,Oligosoma maccanni,-45.01931447,169.9973084,0,0,1,0,0,0
12377,Oligosoma maccanni,-45.53404801,169.3413823,0,0,1,0,0,0
12378,Oligosoma maccanni,-45.36383993,169.3745747,0,0,1,0,0,0
12379,Oligosoma maccanni,-45.19158314,169.3343022,0,0,1,0,0,0
12380,Oligosoma maccanni,-45.23271672,169.3852698,0,0,1,0,0,0
12381,Oligosoma maccanni,-45.22989446,169.3593354,0,0,1,0,0,0
12382,Oligosoma maccanni,-45.31786806,169.5238159,0,0,1,0,0,0
12383,Oligosoma maccanni,-45.30833056,169.4435942,0,0,1,0,0,0
12384,Oligosoma maccanni,-45.00399174,169.7869291,0,0,1,0,0,0
12385,Oligosoma maccanni,-45.01286609,169.9252482,0,0,1,0,0,0
12386,Oligosoma maccanni,-45.01810709,169.5194872,0,0,1,0,0,0
12387,Oligosoma maccanni,-44.93042838,169.7805598,0,0,1,0,0,0
12388,Oligosoma maccanni,-45.14911765,169.6723942,0,0,1,0,0,0
12389,Oligosoma maccanni,-44.9529587,169.9790702,0,0,1,0,0,0
12390,Oligosoma maccanni,-45.08065583,169.9353435,0,0,1,0,0,0
12391,Oligosoma maccanni,-45.05603552,168.7392491,0,0,1,0,0,0
12392,Oligosoma maccanni,-44.91736524,169.8456599,0,0,1,0,0,0
12393,Oligosoma maccanni,-45.09137958,169.9115558,0,0,1,0,0,0
12394,Oligosoma maccanni,-45.22145885,169.5477187,0,0,1,0,0,0
12395,Oligosoma maccanni,-44.90950017,169.8661832,0,0,1,0,0,0
12396,Oligosoma maccanni,-45.17312053,169.8199005,0,0,1,0,0,0
12397,Oligosoma maccanni,-45.16505323,169.6084159,0,0,1,0,0,0
12398,Oligosoma maccanni,-45.19476291,169.8093763,0,0,1,0,0,0
12399,Oligosoma maccanni,-45.25882768,169.6682579,0,0,1,0,0,0
